R,I,A,S,E,C,RSES,CDSES,Strand,Label
2,3,2,3,7,7,32,55,ABM,BS Accountancy
5,6,4,2,3,4,28,100,STEM,BS Architecture
6,6,3,3,2,4,21,114,STEM,BS Information Technology
2,3,3,5,4,3,39,66,HUMSS,BS Psychology
2,4,2,4,6,5,28,63,ABM,BS Accountancy
3,3,3,5,3,2,37,120,HUMSS,BA Communication
4,6,2,6,2,3,32,115,STEM,BS Biology
2,3,7,3,2,3,35,120,Arts & Design,Bachelor of Fine Arts
6,7,2,3,4,5,32,55,STEM,BS Civil Engineering
2,5,3,7,2,2,35,99,STEM,BS Biology
6,4,2,3,4,3,38,66,GAS,BS Agriculture
6,6,4,3,3,6,24,119,STEM,BS Mechanical Engineering
2,2,5,7,5,2,27,56,HUMSS,BS Education
2,7,4,6,3,2,37,109,STEM,BS Nursing
4,3,5,6,5,3,26,76,HUMSS,BA Communication
3,2,4,7,4,2,40,62,HUMSS,BA Communication
6,6,2,2,4,4,31,116,STEM,BS Information Technology
3,4,6,5,4,2,35,48,Arts & Design,Bachelor of Fine Arts
6,5,3,3,4,5,30,67,TVL,BS Industrial Technology
4,6,3,2,3,4,25,47,STEM,BS Information Technology
2,2,5,7,4,4,25,74,TVL,BS Hospitality Management
2,3,4,7,5,4,24,45,TVL,BS Hospitality Management
2,3,5,7,4,2,35,69,HUMSS,BS Tourism Management
4,4,4,5,5,5,36,61,ABM,BS Marketing Management
3,4,3,7,5,3,24,47,HUMSS,BS Psychology
7,5,4,4,3,2,31,51,GAS,BS Agriculture
3,3,4,5,5,4,32,108,HUMSS,BA Communication
6,5,2,3,3,6,32,85,ABM,BS Computer Science
2,4,3,7,3,4,31,54,HUMSS,BA Communication
2,3,3,3,7,7,21,48,ABM,BS Business Administration
6,7,3,3,2,4,33,75,STEM,BS Information Technology
5,7,2,2,4,6,32,57,STEM,BS Computer Science
2,2,2,3,6,6,40,53,ABM,BS Marketing Management
5,5,3,4,4,5,20,58,STEM,BS Computer Science
5,5,3,3,2,4,31,74,GAS,BS Agriculture
4,6,3,3,3,6,37,57,STEM,BS Architecture
5,7,3,4,2,4,21,46,STEM,BS Information Technology
6,5,4,2,4,6,26,90,STEM,BS Information Systems
5,5,2,2,2,4,22,84,STEM,BS Architecture
4,6,3,7,4,2,22,105,STEM,BS Biology
3,3,3,7,5,4,39,63,TVL,BA Communication
5,5,3,2,2,4,24,53,GAS,BS Agriculture
4,4,7,5,4,3,36,117,Arts & Design,Bachelor of Fine Arts
5,6,3,2,2,5,19,108,STEM,BS Architecture
6,5,4,2,3,6,24,75,STEM,BS Information Technology
4,3,3,6,3,2,29,46,STEM,BA Communication
5,4,3,3,2,4,36,91,STEM,BS Agriculture
2,3,2,3,6,7,23,88,ABM,BS Business Administration
4,5,2,2,3,4,18,62,STEM,BS Civil Engineering
3,5,3,6,2,3,29,66,STEM,BS Nursing
5,7,2,2,2,4,24,69,STEM,BS Architecture
3,4,4,7,3,2,37,120,TVL,BS Hospitality Management
6,4,3,2,2,4,26,61,GAS,BS Agriculture
3,2,4,3,6,7,37,53,ABM,BS Marketing Management
4,4,4,6,5,3,23,86,HUMSS,BS Tourism Management
4,6,4,6,3,3,36,96,STEM,BS Biology
4,2,2,3,5,6,25,95,ABM,BS Marketing Management
6,4,2,3,5,4,20,62,GAS,BS Criminology
3,4,4,5,5,2,32,110,HUMSS,BS Education
6,3,3,3,5,3,28,79,GAS,BS Criminology
3,2,3,5,5,6,20,82,ABM,BS Accountancy
4,7,2,6,2,2,21,54,STEM,BS Biology
5,5,2,4,3,3,27,80,GAS,BS Agriculture
4,7,4,4,3,4,27,81,STEM,BS Architecture
3,4,5,5,4,4,34,64,HUMSS,BS Tourism Management
4,7,4,2,3,4,34,120,STEM,BS Civil Engineering
6,6,3,2,3,4,31,98,TVL,BS Industrial Technology
6,5,3,2,4,4,27,46,TVL,BS Industrial Technology
3,2,4,6,5,3,40,113,TVL,BS Hospitality Management
2,4,2,3,5,6,36,125,ABM,BS Marketing Management
6,6,3,2,3,4,35,94,STEM,BS Architecture
3,7,3,7,3,2,23,58,STEM,BS Nursing
2,4,4,4,5,5,24,53,ABM,BS Accountancy
3,2,3,6,5,4,20,103,TVL,BS Tourism Management
4,6,3,3,2,4,22,113,STEM,BS Information Technology
5,5,2,2,3,5,40,105,STEM,BS Information Systems
3,4,2,5,7,7,32,80,ABM,BS Marketing Management
3,2,4,7,3,4,28,117,HUMSS,BS Psychology
5,7,2,4,2,5,38,103,TVL,BS Industrial Technology
3,4,3,6,3,2,37,100,HUMSS,BS Education
4,4,2,4,7,5,25,65,ABM,BS Accountancy
6,6,2,4,4,4,24,108,GAS,BS Agriculture
5,5,2,2,4,3,31,102,GAS,BS Agriculture
4,2,3,3,5,7,40,104,ABM,BS Business Administration
2,3,3,5,4,2,40,62,HUMSS,BS Tourism Management
5,6,2,2,4,6,25,101,Sports,BS Industrial Technology
4,5,2,4,2,4,27,60,STEM,BS Mechanical Engineering
2,2,5,5,5,3,22,101,HUMSS,BS Tourism Management
4,2,4,5,5,6,40,51,ABM,BS Business Administration
4,7,4,7,2,3,40,84,STEM,BS Biology
4,5,3,2,2,5,25,70,GAS,BS Architecture
4,6,2,4,4,4,25,57,STEM,BS Information Technology
4,2,2,4,7,5,28,86,ABM,BS Accountancy
4,2,4,4,6,5,25,72,HUMSS,BS Business Administration
2,3,4,4,5,6,24,103,ABM,BS Accountancy
6,7,3,2,2,4,31,83,STEM,BS Mechanical Engineering
2,4,7,5,2,3,21,121,Arts & Design,Bachelor of Fine Arts
4,4,3,6,3,4,40,85,HUMSS,BS Tourism Management
2,3,6,5,4,3,30,110,Arts & Design,Bachelor of Fine Arts
6,7,4,2,2,4,37,60,STEM,BS Civil Engineering
5,4,2,2,4,3,33,82,GAS,BS Criminology
2,4,3,5,5,4,32,87,HUMSS,BS Tourism Management
6,6,4,3,2,4,28,88,STEM,BS Computer Science
5,6,2,4,4,4,25,122,GAS,BS Agriculture
3,5,3,7,2,2,33,53,STEM,BS Biology
6,5,2,2,2,4,36,115,STEM,BS Computer Science
2,4,2,4,7,6,27,66,ABM,BS Business Administration
5,5,4,2,3,5,36,102,STEM,BS Civil Engineering
3,3,2,4,6,6,23,105,ABM,BS Business Administration
4,7,3,5,3,2,30,99,STEM,BS Biology
4,4,3,7,5,2,26,93,HUMSS,BS Education
5,6,4,4,3,4,28,62,TVL,BS Industrial Technology
2,2,2,3,7,7,29,107,ABM,BS Business Administration
6,4,3,3,5,3,38,120,STEM,BS Criminology
3,7,2,5,3,3,29,110,STEM,BS Nursing
4,2,5,6,4,4,25,76,TVL,BS Hospitality Management
4,4,5,5,5,4,38,63,TVL,BS Hospitality Management
6,5,3,2,4,6,39,65,Sports,BS Industrial Technology
6,7,3,3,4,6,20,111,STEM,BS Information Systems
5,3,3,4,5,4,35,93,GAS,BS Criminology
7,2,2,4,6,3,22,79,GAS,BS Criminology
4,3,3,5,4,2,21,53,HUMSS,BS Tourism Management
7,3,4,3,6,3,23,67,GAS,BS Criminology
2,3,3,7,3,3,36,72,HUMSS,BS Psychology
6,5,2,3,3,5,38,124,Arts & Design,BS Computer Science
2,3,2,4,5,6,20,88,ABM,BS Accountancy
3,4,6,3,2,3,18,119,Arts & Design,Bachelor of Fine Arts
4,5,4,2,3,6,34,79,STEM,BS Computer Science
3,4,7,4,3,4,28,85,Arts & Design,Bachelor of Fine Arts
4,3,4,7,3,3,28,57,Sports,BS Hospitality Management
4,2,3,7,3,4,26,76,HUMSS,BS Tourism Management
6,7,3,4,3,6,24,45,STEM,BS Architecture
2,4,4,5,5,3,39,101,HUMSS,BA Communication
3,4,7,3,3,3,33,57,Arts & Design,Bachelor of Fine Arts
4,2,5,5,5,4,40,109,GAS,BS Education
5,7,4,3,2,5,21,106,STEM,BS Information Systems
